R53-9,0,,,10,,,20,,,30,,
0,57.85966,63.49496,59.75766,60.16673,62.87752,57.1493,56.52818,56.70897,54.56182,58.98305,54.64654,51.56517
2,59.1778,64.76466,59.65213,61.36599,62.91428,61.38079,58.60106,58.0792,56.87182,62.95579,57.27484,53.06565
4,61.3224,66.45261,62.43936,62.74257,63.72448,64.36359,61.66178,60.52854,58.3218,61.56236,59.10074,54.95084
6,64.60252,67.81843,64.22728,64.38658,67.11933,66.1805,63.11128,62.13523,60.94201,65.81883,61.45113,59.93587
8,68.22988,72.80311,66.89217,67.40018,68.35789,68.36032,66.21096,65.54263,64.66852,66.97712,64.97511,63.29695
10,69.59863,74.67972,68.66342,70.34924,70.66836,69.36685,69.07464,68.39645,66.85203,71.38625,67.27687,69.11904
12,75.16963,77.11948,70.90318,72.6037,72.3826,72.31766,70.05417,71.04109,70.76664,71.83379,72.46811,70.26604
14,77.58524,78.48138,73.53172,75.54003,75.67812,74.7104,73.52871,73.58438,72.3427,75.82709,72.64753,72.63253
16,80.52941,81.19934,75.00119,75.69785,79.21812,77.07089,76.54974,75.49921,75.49447,78.86618,76.66611,75.23876
18,81.03593,82.73397,77.83078,78.25621,80.72451,77.95205,77.62371,78.73088,77.25456,79.58865,77.88816,78.0183
20,83.46066,84.31689,78.97816,78.92909,82.34438,79.19064,79.19997,79.10996,77.56136,79.07239,78.48373,77.48159
22,86.29648,86.46036,82.70158,80.28282,83.51334,81.35577,80.05647,82.46941,81.54428,79.98003,78.16383,76.48278
24,88.39731,89.03381,84.42208,80.92402,85.05582,82.49845,81.62627,81.97622,80.84409,82.58971,80.65969,78.43271
26,91.35448,90.01397,85.77434,81.88361,86.14475,84.58219,82.52554,83.82946,79.6622,82.12296,80.93793,78.18258
28,92.97366,91.60461,87.42384,81.86105,85.62421,85.24496,81.43572,83.87154,83.00905,82.50583,81.79501,80.13773
30,93.43507,92.80242,89.47891,84.03978,87.55565,86.48824,83.41074,85.70127,83.3229,83.81621,81.33629,80.73177
32,94.73669,94.55369,90.95242,86.31452,88.894,87.75379,83.53149,86.2119,83.3859,83.11964,83.47125,82.34151
34,95.27212,95.21774,92.43424,87.05519,90.25575,88.72058,83.76774,87.99419,85.40991,83.84351,83.24268,83.43268
36,96.16293,95.27512,93.57545,87.50278,90.7431,89.73453,84.12988,87.84541,84.49089,81.9698,84.54553,83.16379
38,97.04729,97.20229,93.96262,88.29356,90.79835,89.59012,86.03824,88.21029,85.80904,83.12852,84.65949,84.11602
40,97.50571,96.89567,94.51851,89.42501,91.90115,90.31774,86.05489,89.15958,85.71064,83.49255,83.93368,84.19576
42,98.20073,97.60288,95.87753,89.99722,92.63747,91.91196,86.26426,90.95529,87.5472,83.92924,85.52023,84.13303
44,98.3727,97.40035,96.28967,90.24991,93.0768,91.32447,87.32909,90.42191,86.01003,84.13011,85.34613,84.55827
46,98.88348,98.3991,96.07321,91.08633,93.47088,92.40742,88.55125,89.77501,89.09097,84.87149,85.34286,85.22311
48,98.92585,98.39298,96.96275,91.28194,93.18313,91.79058,90.40154,90.13327,85.58875,84.46982,85.15947,84.65604
50,99.17831,98.55528,96.72468,92.22403,93.32687,92.10461,89.53159,90.98441,88.05324,84.4397,85.61227,84.7065
52,99.29305,98.87295,97.54176,92.19247,93.80213,92.76439,89.6552,91.40141,87.21806,85.30306,85.9787,84.79823
54,99.44297,99.12685,97.47297,92.37152,93.67542,92.84907,89.99803,91.64338,87.40689,86.10363,86.286,87.08198
56,99.42645,99.24589,97.99284,92.97517,94.57309,92.44751,89.5835,91.45634,88.07172,84.6462,85.44134,85.93525
58,99.49033,99.25343,97.72598,93.32443,94.89951,92.50428,90.36935,91.33141,88.14145,85.25657,87.05053,85.25807
60,99.50113,99.18479,97.79138,92.6513,94.22968,92.55806,90.59898,91.81425,89.13874,85.13417,85.52357,86.37705
62,99.59775,99.43465,97.97671,92.83855,94.65121,93.20356,91.66059,91.73535,87.87532,86.72345,85.2431,86.75027
64,99.58213,99.38826,98.10043,93.60252,94.59626,93.36746,91.56149,92.02751,88.17594,84.59495,86.62135,86.96614
66,99.51623,99.42796,97.92604,93.45857,94.63016,94.28278,91.44303,92.03015,89.32495,85.68938,87.63583,86.35599
68,99.61818,99.4011,97.88669,93.29803,94.13461,93.60086,91.2157,92.36179,90.35789,85.13427,86.43122,87.10424
70,99.65936,99.40623,97.5563,93.76982,94.46695,93.1196,91.15365,92.13867,88.28752,85.34361,85.80547,86.20422
